date,type,price,amount
1509235203020,b,0.05281,1
1509235203020,b,0.052781,1.204
1509235203020,b,0.05229,1
1509235203020,b,0.052232,1.428
1509235203020,b,0.052,0.437
1509235203020,b,0.05177,1
1509235203020,b,0.051517,2.605
1509235203020,b,0.05131,1.654
1509235203020,b,0.05126,1
1509235203020,b,0.05108,0.096
1509235203020,b,0.050979,3.976
1509235203020,b,0.05083,0.06
1509235203020,b,0.05075,1
1509235203020,b,0.05038,4.396
1509235203020,b,0.050299,0.502
1509235203020,b,0.05025,1
1509235203020,b,0.049802,4.425
1509235203020,b,0.04975,1
1509235203020,b,0.04971,0.8
1509235203020,b,0.049667,0.466
1509235203020,b,0.049661,4.251
1509235203020,b,0.04965,6.997
1509235203020,b,0.04964,0.849
1509235203020,b,0.049639,0.022
1509235203020,b,0.049261,2.045
1509235203020,b,0.04926,1
1509235203020,b,0.0488,3.889
1509235203020,b,0.04877,1
1509235203020,b,0.048749,4.872
1509235203020,b,0.048306,127.734
1509235203020,b,0.048261,3.92
1509235203020,b,0.04824,0.13
1509235203020,b,0.048219,0.27
1509235203020,b,0.048217,4.24
1509235203020,b,0.048215,0.857
1509235203020,b,0.048214,2.923
1509235203020,a,0.042706,0.03
1509235203020,a,0.042797,3.388
1509235203020,a,0.043063,2.717
1509235203020,a,0.043501,0.03
1509235203020,a,0.043651,3.193
1509235203020,a,0.043838,0.5
1509235203020,a,0.044116,0.03
1509235203020,a,0.044537,0.03
1509235203020,a,0.044619,5.18
1509235203020,a,0.045,0.432
1509235203020,a,0.045083,1.96
1509235203020,a,0.045229,0.092
1509235203020,a,0.045614,3.276
1509235203020,a,0.046106,1.317
1509235203020,a,0.046581,2.8
1509235203020,a,0.047077,2.8
1509235203020,a,0.047097,0.264
1509235203020,a,0.047098,2.829
1509235263022,b,0.05281,1
1509235263022,b,0.052781,1.204
1509235263022,b,0.05229,1
1509235263022,b,0.052232,1.428
1509235263022,b,0.052,0.437
1509235263022,b,0.05177,1
1509235263022,b,0.051517,2.605
1509235263022,b,0.05131,1.654
1509235263022,b,0.05126,1
1509235263022,b,0.05108,0.096
1509235263022,b,0.050979,3.976
1509235263022,b,0.05083,0.06
1509235263022,b,0.05075,1
1509235263022,b,0.05038,4.396
1509235263022,b,0.050299,0.502
1509235263022,b,0.05025,1
1509235263022,b,0.049802,4.425
1509235263022,b,0.04975,1
1509235263022,b,0.04971,0.8
1509235263022,b,0.049667,0.466
1509235263022,b,0.049661,4.251
1509235263022,b,0.04965,6.997
1509235263022,b,0.04964,0.849
1509235263022,b,0.049639,0.022
1509235263022,b,0.049261,2.045
1509235263022,b,0.04926,8.92
1509235263022,b,0.0488,3.889
1509235263022,b,0.04877,1
1509235263022,b,0.048749,4.872
1509235263022,b,0.048306,127.734
1509235263022,b,0.048261,3.92
1509235263022,b,0.04824,0.13
1509235263022,b,0.048219,0.27
1509235263022,b,0.048215,0.857
1509235263022,b,0.048214,2.923
1509235263022,a,0.042383,4.592
1509235263022,a,0.042706,0.03
1509235263022,a,0.042797,3.388
1509235263022,a,0.043063,2.717
1509235263022,a,0.043501,0.03
1509235263022,a,0.043651,3.193
1509235263022,a,0.043838,0.5
1509235263022,a,0.044116,0.03
1509235263022,a,0.044537,0.03
1509235263022,a,0.044619,5.18
1509235263022,a,0.045,0.432
1509235263022,a,0.045083,1.96
1509235263022,a,0.045229,0.092
1509235263022,a,0.045614,3.276
1509235263022,a,0.046106,23.006
1509235263022,a,0.046581,2.8
1509235263022,a,0.047077,2.8
1509235263022,a,0.047085,105.88
1509235263022,a,0.047086,2.88
1509235263022,a,0.047087,4.24
1509235323022,b,0.05281,1
1509235323022,b,0.052781,1.204
1509235323022,b,0.05229,1
1509235323022,b,0.052232,1.428
1509235323022,b,0.052,0.437
1509235323022,b,0.05177,1
1509235323022,b,0.051517,2.605
1509235323022,b,0.05131,1.654
1509235323022,b,0.05126,1
1509235323022,b,0.05108,0.096
1509235323022,b,0.050979,3.976
1509235323022,b,0.05083,0.06
1509235323022,b,0.05075,1
1509235323022,b,0.05038,4.396
1509235323022,b,0.050299,0.502
1509235323022,b,0.05025,1
1509235323022,b,0.049802,4.425
1509235323022,b,0.04975,1
1509235323022,b,0.04971,0.8
